,id,age,gender,hand,phase,block,modality,ntrial,v_pred,v_leading,v_trailing,a_pred,a_leading,a_trailing,catch,target,resp,RT,correct,diff,invalid_catch,block_mod,pred,ign_pred,ign_mod,relevant_expected,irrelevant_expected,v_learned,a_learned,att_learned,ign_learned,change_r,change,response
86,S01,22,Hombre,izquierda,1,1,visual,34,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.38603460000013,1,22.0,0.0,1,EXP,EXP,auditory,1,1,1,1,1,1,0.0,0.0,0
87,S01,22,Hombre,izquierda,1,1,visual,35,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.3303716999998869,1,22.0,0.0,1,EXP,EXP,auditory,1,1,1,1,1,1,0.0,0.0,0
88,S01,22,Hombre,izquierda,1,1,visual,36,VP,90.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.3439014000000497,1,22.0,0.0,1,VP,EXP,auditory,0,1,1,1,1,1,0.0,0.0,0
89,S01,22,Hombre,izquierda,1,1,visual,37,EXP,0.0,135.0,VP,1600.0,100.0,0.0,1.0,diferente,0.859238600000026,1,22.0,0.0,1,EXP,VP,auditory,1,0,1,1,1,1,22.0,0.6875,1
90,S01,22,Hombre,izquierda,1,1,visual,38,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,1.0,diferente,0.4345116000004054,1,22.0,0.0,1,EXP,EXP,auditory,1,1,1,1,1,1,22.0,0.6875,1
91,S01,22,Hombre,izquierda,1,1,visual,39,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.7709223000001657,1,18.0,0.0,1,EXP,EXP,auditory,1,1,1,1,1,1,0.0,0.0,0
92,S01,22,Hombre,izquierda,1,1,visual,40,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.6053044000000227,1,18.0,0.0,1,EXP,EXP,auditory,1,1,1,1,1,1,0.0,0.0,0
93,S01,22,Hombre,izquierda,1,1,visual,41,VP,90.0,135.0,EXP,1000.0,100.0,0.0,1.0,normal,0.5840674999999464,0,18.0,0.0,1,VP,EXP,auditory,0,1,1,0,1,0,18.0,0.5625,0
94,S01,22,Hombre,izquierda,1,1,visual,42,VP,90.0,135.0,VP,1000.0,160.0,0.0,0.0,normal,0.6373402999997779,1,18.0,0.0,1,VP,VP,auditory,0,0,1,0,1,0,0.0,0.0,0
95,S01,22,Hombre,izquierda,1,1,visual,43,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.536851200000001,1,18.0,0.0,1,EXP,EXP,auditory,1,1,1,0,1,0,0.0,0.0,0
96,S01,22,Hombre,izquierda,1,1,visual,44,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,1.4720704999999723,1,18.0,0.0,1,EXP,EXP,auditory,1,1,1,0,1,0,0.0,0.0,0
97,S01,22,Hombre,izquierda,1,1,visual,46,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,1.0,normal,0.8271847999999409,0,18.0,0.0,1,EXP,EXP,auditory,1,1,1,0,1,0,18.0,0.5625,0
