,id,age,gender,hand,phase,block,modality,ntrial,v_pred,v_leading,v_trailing,a_pred,a_leading,a_trailing,catch,target,resp,RT,correct,diff
9848,S41,21,Mujer,derecha,2,1,auditory,0,,,,EXP,1000.0,100.0,,,raro,1.8585274000070056,0,
9849,S41,21,Mujer,derecha,2,1,auditory,1,,,,EXP,1000.0,100.0,,,frecuente,0.7699691000161693,1,
9850,S41,21,Mujer,derecha,2,1,auditory,2,,,,EXP,1600.0,160.0,,,frecuente,0.9029371999786237,1,
9851,S41,21,Mujer,derecha,2,1,auditory,3,,,,EXP,1600.0,160.0,,,frecuente,1.4643438000348397,1,
9852,S41,21,Mujer,derecha,2,1,auditory,4,,,,VP,1000.0,160.0,,,raro,0.6301962999859825,1,
9853,S41,21,Mujer,derecha,2,1,auditory,5,,,,VP,1600.0,100.0,,,frecuente,2.1558940000250004,0,
9854,S41,21,Mujer,derecha,2,1,auditory,6,,,,VP,1600.0,100.0,,,frecuente,1.2017941999947652,0,
9855,S41,21,Mujer,derecha,2,1,auditory,7,,,,VP,1000.0,160.0,,,raro,0.5282871999661438,1,
10736,S42,18,Mujer,derecha,2,0,visual,0,EXP,90.0,135.0,,,,,,frecuente,3.486050300009083,1,
10737,S42,18,Mujer,derecha,2,0,visual,1,VP,0.0,135.0,,,,,,frecuente,0.2763056999538094,0,
10738,S42,18,Mujer,derecha,2,0,visual,2,EXP,90.0,135.0,,,,,,frecuente,0.2487385999993421,1,
10739,S42,18,Mujer,derecha,2,0,visual,3,VP,90.0,45.0,,,,,,frecuente,0.4367735999985598,0,
10740,S42,18,Mujer,derecha,2,0,visual,4,VP,0.0,135.0,,,,,,frecuente,0.0349050000077113,0,
10741,S42,18,Mujer,derecha,2,0,visual,5,VP,90.0,45.0,,,,,,frecuente,0.1347359999781474,0,
10742,S42,18,Mujer,derecha,2,0,visual,6,EXP,0.0,45.0,,,,,,frecuente,0.3393901999806985,1,
10743,S42,18,Mujer,derecha,2,0,visual,7,EXP,0.0,45.0,,,,,,frecuente,0.2718694999930449,1,
10744,S42,18,Mujer,derecha,2,1,auditory,0,,,,VP,1600.0,160.0,,,raro,2.2143388999975286,1,
10745,S42,18,Mujer,derecha,2,1,auditory,1,,,,EXP,1000.0,160.0,,,frecuente,3.0155154000385664,1,
10746,S42,18,Mujer,derecha,2,1,auditory,2,,,,EXP,1600.0,100.0,,,frecuente,3.5524203999666497,1,
10747,S42,18,Mujer,derecha,2,1,auditory,3,,,,EXP,1600.0,100.0,,,frecuente,0.5295510999858379,1,
10748,S42,18,Mujer,derecha,2,1,auditory,4,,,,EXP,1000.0,160.0,,,frecuente,1.7016070000245236,1,
